Modelo,Precio,Color,M,L,XL,2XL,3XL,4XL,5XL
NANCY,800.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YADHIRA,750.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMANDA,700.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MARA,800.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SARA,800.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MARA,800.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JADE,800.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NORMA,1250.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLUS,800.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAZADOR DAMA,1000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NICOL,800.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GALIEA,800.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAPITAN AMERICA DAMA,900.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KENIA,800.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI,800.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIANA,800.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALEJNDRA,800.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KENTOCKY,1550.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REINA,800.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IRAZU,800.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHAKIRA,800.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRIDA,800.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENA,800.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRIDA,800.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEYSI,800.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THALIA,800.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JESSI,800.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMERICA,800.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZOE,650.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIANA,650.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CANELO,0.0,NEGRO,1.0,1.0,2.0,2.0,1.0,0.0,0.0
RAMSES,0.0,NEGRO,1.0,1.0,1.0,1.0,1.0,1.0,1.0
